id,subject,body,t1_final,t2_final
37850,,"That is unusual this piece came from Tiffany and Co. but I will remove it shortly

Sent from my iPhone

> On Oct 5, 2016, at 7:59 AM, customerhelp@ebay.com wrote:
> 
> 
> VeRO 48 hour Fair Warning - oldtreasures333 - VeRO Replica SR# 1-88122986774
> 
> 
> Hello oldtreasures333 (oldtreasures333@aol.com),
>  
> I am writing to let you know that eBay has received a report from Tiffany & Company that the following listings allegedly infringe their intellectual property rights:
>  
> 401199675769 - Estate Signed Tiffany & Co Ceramic Sterling Silver Eternity Band Ring SZ 9
>  
> <b>Tiffany & Company has claimed in their report that the items offered are counterfeit product which infringes their trademark rights.</b>
>  
> Please note that we have not removed the reported listing(s) at this time.  We are allowing you 48 hours to reach out to Tiffany & Company to appeal the removal request if you feel that this report was made in error.  Tiffany & Company can be contacted directly at:
>  
> Tiffany & Company(trademarkenforcementteam@tiffany.com)
>  
> If Tiffany & Company agrees that the request that your listing be removed was made in error, please have them contact us at vero@ebay.com immediately. If you have trouble reaching Tiffany & Company please let us know by replying to this email as soon as possible.
>  
> <b>**Please note: If you are in contact with t",e2M Listing,VeRO - CCR
37851,,"hello:
here is the bill of lading for the return,
customer has to notify us when they wheels are ready to pick up
and we can notify the company to send the driver to pick them up,
customer needs to pack the wheels before sending them back


please let us know if there is anything else we need to do on our end
do we have to send the bill of lading to the customer ?
or is ebay going to handle that ?

please let us know we are working to get this solved as soon as possible we
do not
want any misunderstanding or delays in communication

thanks


Abraham Padilla
209 Customs manager
209-874-6748


On Thu, Oct 6, 2016 at 12:25 PM, <highvalueclaimsinfo@ebay.com> wrote:

> [image: eBay]
> Important Case (5114946957) Update: Your Action Required SR# 1-88269607281
>
>
> Hello Maria,
>
>
>
> We are following up with you today in regards to the 24"" KMC Slide Black
> Wheels and Tires Silverado Escalade Tahoe Sierra Avalanche (eBay item:
> 391354848748) that you recently sold. I understand the buyer opened the
> case stating that the item is defective or doesn't work.I can definitely
> see that this has been a troublesome and time consuming transaction. We
> want to work together with you to resolve this issue on both sides.
>
>
>
> We also appreciate your patience while we respond to your email. We have
> had a recent influx of emails, and since eac",M2M Escalation,Buyer Protect High ASP Claim
37852,Re: BT NOCI,"Dear VeRO

Can you please confirm receipt if the below email/NOCI sent 10 days ago and
confirm that we now have authorisation to begin removals on behalf of BT Sport?

Many thanks

Alex

On 26 September 2016 10:08 <btsport@rightsmediation.com> wrote:
>
> Dear VeRO
>
> Please find attached a signed NOCI from BT Sport and a letter of
authorisation.
>
> In addition, please authorise the following individuals from the same email
> address:
>
> Michael Lacey
> Ben Buckles
> Luke Shields
> Emma Younger
>
> If you require any further information, please do not hesitate to contact me.
>
> Kind regards
>
> Alex Jones
> Investigations Manager",e2M Listing,VeRO - CCR
37853,CWS Media Refused Shutdowns,"Good morning,

I'm writing regarding the attached listings for CWS Media Group.  Can I get some clarification as to why these were refused?  The client has identified them as infringing and we'd like to see that they are removed as soon as possible.

Thanks,

[https://htmlsigs.s3.amazonaws.com/logos/files/000/191/005/landscape/OpSec_Logo_2015_RGB.png]

Brendan Millet
Solutions Manager

tel: +1 617.901.1707
330 Congress Street, 3rd Flr Boston, MA USA 02210
www.opsecsecurity.com<http://www.opsecsecurity.com/>



",e2M Listing,VeRO - CCR
37854,Policy General,"Hallo mijn adres is niet volledig. Het huisnummer miste.  Ik heb dit enige tijd geleden al aangepast en heb sindsdien ook al nieuwe bestellingen geplaatst en geleverd gekregen.
Mijn volledige adres staat goed op mijn ebay account.

Peter Heinhuis
Egginkstraat 21
7983LE Wapse
Nederland

Verstuurd vanaf: myMail voor iOS


donderdag 6 oktober 2016 02:05 +0200 van customerhelp@ebay.co.uk <customerhelp@ebay.co.uk>:
[eBay]
eBay-object niet leverbaar op je adres - SR# 1-88173648850


Hallo peteheinhui_0,

We hebben problemen met het leveren van je bestelling van eBay-object 311481553390 van china-parts-limited-2006 (ORA: A1578279313NL). Dit wordt meestal veroorzaakt door een onvolledig of niet-herkend adres of telefoonnummer.

Controleer het afleveradres en telefoonnummer. Het adres waar we hebben geprobeerd te leveren, is egginkstraat,,wapse,default,7983LE,Netherlands.  Het telefoonnummer is 652670688.

Als deze gegevens onjuist zijn, kun je ze hier bewerken:
http://payments.ebay.nl/ws/eBayISAPI.dll?UserAddresses&cmd=standalone

Opmerking: we kunnen niet verzenden naar een adres in een ander land dan het oorspronkelijk vermelde. We verzenden ook niet naar postbussen of Packstations.

--Je hoeft geen contact met ons op te nemen nadat je het adres hebt bijgewerkt.--

Als het verzendadres en het telefoonnummer kloppen, kun je ons dit laten weten door deze e-",Specialty,Logistics - CCR
37855,,NULL,Specialty,Logistics - CCR
37856,"Re: GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#US $US 100770T ?0 SR# 1-86966850973","Please let me know what is going on it is October 4th and still have not heard back from the seller. He sent me the completely wrong item. 

Sent from my iPhone

> On Sep 29, 2016, at 8:19 PM, highvalueclaimsinfo@ebay.com wrote:
> 
> 
> RE: Re: GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#US $US 100770T ?0 SR# 1-86966850973
> 
> 
> Hello Charlie,
>  
> We have place this case on a 5 day hold for the seller to arrange return shipping of their item. Once the seller receives their item back
> we will have the seller issue you a refund. If the seller does not provide you with a return shipping option within the 5 day period then we
> will close this case in your favor and issue you a full refund at that time.
>  
> Thank you,
>  
> Kyler F.
> eBay Customer Service
> 
> 
> 
> 
> From: Charlie Schnoll <c.schnoll23@gmail.com> 
> Sent: 9/29/2016 8:50:58 PM 
> To: highvalueclaimsinfo@ebay.com 
> CC: 
> Subject: Re: GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#US $US 100770T ?0 SR# 1-86966850973
> 
> 
> Will I be receiving a refund for this item? I have messaged the seller multiple times and have gotten zero response. 
> 
> Sent from my iPhone
> 
>> On Sep 29, 2016, at 1:41 PM, highvalueclaimsinfo@ebay.com wrote:
>> 
>> 
>> RE: GS=CU1193 | Escalating claim to CS, I received an",M2M Escalation,Buyer Protect High ASP Claim
37857,Vous n'avez pas reçu votre objet,"Sent:	2016-10-05 09:11:02.0

Subject:	Vous n'avez pas reçu votre objet

Send a copy to my email address.:	on

Item number you are reporting:	262630467119

Payment Date:	Wed Sep 21 09:12:39 MST 2016

Payment Method:	PayPal

Have you called your seller?:	Non, je n'ai pas essayé d'appeler le vendeur

Enter related information:	Bonsoir, je n'ai absolument aucune nouvelle du transporteur qui devait me livrer ce colis : ni téléphone, ni d'endroit où pouvoir le récupérer... Ce n'est pas la première fois que mes colis repartent après une seule visite à domicile...",Specialty,Logistics - CCR
37858,Infringement,"

Date: 5 October 2016



eBay Inc.

Attn: eBay VeRO Program

2145 Hamilton Ave.

San Jose, CA 95125

Fax number: (408) 516-8811





Dear eBay:



I, the undersigned, state under penalty of perjury that:



- I am the owner, or an agent authorized to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified (by item

number) in the addendum attached hereto offer items or contain materials that are not authorized by the IP Owner, its agent, or the law; and

- Please act expeditiously to remove the listings identified in the addendum.



I may be contacted at:

Name of IP Owner: RH Smith & Sons T/A Smiffys

Name and title: Sharon Lister, Para Legal

Company: RH Smith & Sons T/A Smiffys

Address:  Caldicot Drive, Heapham Road Industrial Estate

City, State, and Zip: Gainsborough, Lincs, DN21 1FJ, England

Email address (for correspondence with eBay): Intellectualproperty@smiffys.com<mailto:Intellectualproperty@smiffys.com>

Email address (to be given to eBay sellers): IntellectualProperty@smiffys.com<mailto:IntellectualProperty@smiffys.com>

Telephone: +44 1427 616831

Fax:



In addition to the undersigned, the following persons have the proper authority to sign future Notices of Claimed Infringement on behalf of the IP Owner:



Name",e2M Listing,VeRO - CCR
37859,Infringements,"Good Morning.

Please see attached.

Thanks,

Rob Capel| Brand Licensing Administrator
Marshall Amplification plc
Denbigh Road
Bletchley
Milton Keynes
Bucks
MK1 1DQ
T: +44 (0) 1908 375411

marshallamps.com<http://www.marshallamps.com/> | nataldrums.com<http://www.nataldrums.com/> | edenamps.com<http://www.edenamps.com/>

[cid:image001.jpg@01D15F4E.80A80D80]

",e2M Listing,VeRO - CCR
37860,FW: eBay VeRO Programme - NOCI Received - More Information Requested,"Why are these counterfeit products still for sale?

Please remove immediately!


[cid:image002.png@01D21F01.923C7630]

Jet Doran,

SnapDragon Monitoring Ltd.


[SnapDragon Monitoring Ltd]<http://www.snapdragon-ip.com/>
[Twitter] <https://twitter.com/snapdragon_ip>  [Facebook]  <https://facebook.com/snapdragonip>  [Google +]  <https://plus.google.com/100588677540917321823/about>  [LinkedIn]  <https://www.linkedin.com/company/snapdragon-monitoring-ip>



Jet Doran | Director of Research
jet.doran@snapdragon-ip.com<mailto:jet.doran@snapdragon-ip.com> | +44 (0) 781 483 7782
SnapDragon Monitoring Ltd
Office: +44 (0) 131 466 9249 | Fax: +44 (0) 131 623 1898
111 Whitehouse Loan, Edinburgh, EH9 1AT, United Kingdom
www.snapdragon-ip.com<http://www.snapdragon-ip.com/>
Breathing fire to protect your brand!<http://www.snapdragon-ip.com/>



From: SnapDragon HQ
Sent: 26 September 2016 16:02
To: 'vero@ebay.co.uk' <vero@ebay.co.uk>
Subject: RE: eBay VeRO Programme - NOCI Received - More Information Requested




Dear Vero



Thank you for your response. Endura Ltd are manufacturers of the Movistar cycling team products. You can see the original products on the Endura website: http://www.endurasport.com/search/?SearchVal=Movistar

The products reported below are all counterfeits, they are using the Endura trademark (attached) without authorisation to se",e2M Listing,VeRO - CCR
